Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
SEZ6L2	FLJ90517, PSK-1	ENSG00000174938	Seizure related 6 homolog like 2	16	29871159-29899547	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA064471	Enhanced				Colorectal cancer:1.31e-4 (unfavourable), Glioma:7.27e-4 (unfavourable), Cervical cancer:7.46e-4 (unfavourable)	Expressed in all	Tissue enhanced		cerebral cortex: 82.4;parathyroid gland: 58.4	adrenal gland: 30.6	Cell line enhanced		EFO-21: 72.2
WWC3	BM042, KIAA1280	ENSG00000047644	WWC family member 3	X	10015562-10144478	Predicted intracellular proteins	Evidence at protein level	HPA039814	Uncertain		Approved	Actin filaments<br>Cytosol	Renal cancer:1.06e-5 (unfavourable), Colorectal cancer:1.31e-4 (unfavourable)	Expressed in all	Expressed in all			seminal vesicle: 39.8	Cell line enhanced		T-47d: 129.2
THAP3		ENSG00000041988	THAP domain containing 3	1	6624866-6635586	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA067114	Approved		Approved	Nucleus	Colorectal cancer:1.33e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 18.0	Expressed in all		
VSIG4	Z39IG	ENSG00000155659	V-set and immunoglobulin domain containing 4	X	66021738-66040125	Plasma proteins, Predicted membrane proteins	Evidence at protein level	HPA003903, CAB026000	Approved		Uncertain	Nucleoli<br>Plasma membrane<br>Cytosol	Renal cancer:1.95e-6 (unfavourable), Colorectal cancer:1.34e-4 (unfavourable)	Expressed in all	Expressed in all			lung: 243.4	Not detected		
TBC1D10B	DKFZP434P1750, EPI64B, FLJ13130, Rab27A-GAPbeta	ENSG00000169221	TBC1 domain family member 10B	16	30357102-30370264	Predicted intracellular proteins	Evidence at protein level	HPA048894	Uncertain				Liver cancer:8.94e-5 (unfavourable), Colorectal cancer:1.35e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 36.1	Expressed in all		
DENND6B	AFI1B, FAM116B, MGC33692	ENSG00000205593	DENN domain containing 6B	22	50309030-50327060	Predicted intracellular proteins	Evidence at protein level	HPA018934, HPA021653, HPA029570	Uncertain		Uncertain	Plasma membrane	Endometrial cancer:5.93e-5 (favourable), Colorectal cancer:1.41e-4 (unfavourable)	Expressed in all	Tissue enhanced		fallopian tube: 21.5	cerebral cortex: 12.0	Mixed		
INHBB		ENSG00000163083	Inhibin beta B subunit	2	120346143-120351808	Cancer-related genes, Predicted secreted proteins	Evidence at protein level						Thyroid cancer:1.02e-4 (favourable), Colorectal cancer:1.44e-4 (unfavourable), Renal cancer:3.02e-4 (unfavourable)	Expressed in all	Tissue enhanced		testis: 27.1	adipose tissue: 24.9	Cell line enhanced		A549: 42.9;ASC diff: 43.3;MCF7: 44.4;PC-3: 85.1;SK-BR-3: 122.2
GAS1		ENSG00000180447	Growth arrest specific 1	9	86944363-86947189	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	CAB024164, HPA036085, HPA066902	Approved		Approved	Nuclear speckles	Thyroid cancer:1.13e-5 (unfavourable), Renal cancer:1.96e-5 (unfavourable), Colorectal cancer:1.55e-4 (unfavourable), Stomach cancer:8.26e-4 (unfavourable)	Expressed in all	Tissue enhanced		endometrium: 110.8	smooth muscle: 74.4	Cell line enhanced		AN3-CA: 44.7;BJ hTERT+: 53.4;RH-30: 95.7
GPR137B	TM7SF1	ENSG00000077585	G protein-coupled receptor 137B	1	236142505-236221865	Predicted membrane proteins, Transporters	Evidence at protein level	HPA026422	Approved				Colorectal cancer:1.63e-4 (unfavourable)	Expressed in all	Mixed			kidney: 70.7	Cell line enhanced		SK-MEL-30: 165.8
GOLGA2	GM130, golgin-95	ENSG00000167110	Golgin A2	9	128255829-128275995	Predicted intracellular proteins	Evidence at protein level	CAB015421, HPA021178, HPA021230, HPA021799	Enhanced		Enhanced	Golgi apparatus	Renal cancer:9.77e-5 (favourable), Colorectal cancer:1.64e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 161.0	Expressed in all		
CRY2		ENSG00000121671	Cryptochrome circadian clock 2	11	45847118-45883248	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA037577	Supported		Supported	Nuclear speckles<br>Cytosol	Renal cancer:6.44e-15 (favourable), Liver cancer:6.82e-5 (favourable), Colorectal cancer:1.67e-4 (unfavourable), Pancreatic cancer:4.39e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 56.2	Expressed in all		
DEF6	IBP, SLAT, SWAP70L	ENSG00000023892	DEF6, guanine nucleotide exchange factor	6	35297852-35321771	Predicted intracellular proteins	Evidence at protein level	HPA038975, HPA038976	Enhanced		Enhanced	Nucleoplasm	Renal cancer:1.02e-8 (unfavourable), Breast cancer:3.02e-6 (favourable), Cervical cancer:1.08e-4 (favourable), Colorectal cancer:1.71e-4 (unfavourable), Endometrial cancer:2.37e-4 (favourable)	Expressed in all	Mixed			lymph node: 56.1	Cell line enhanced		U-937: 93.5
WBSCR27		ENSG00000165171	Williams Beuren syndrome chromosome region 27	7	73834590-73842535	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA022420	Uncertain		Supported	Focal adhesion sites	Renal cancer:1.10e-6 (favourable), Colorectal cancer:1.73e-4 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 8.4	Cell line enhanced		RPMI-8226: 54.9;T-47d: 21.0
FAM219B	C15orf17, FLJ00005	ENSG00000178761	Family with sequence similarity 219 member B	15	74899987-74907121	Predicted intracellular proteins	Evidence at protein level	HPA048929, HPA058064	Approved		Approved	Nucleoplasm<br>Golgi apparatus	Renal cancer:1.29e-4 (favourable), Colorectal cancer:1.75e-4 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 20.8	Mixed		
FAM3A	2-19, DXS560S, XAP-7	ENSG00000071889	Family with sequence similarity 3 member A	X	154506159-154516242	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB025016, HPA056991	Uncertain		Approved	Nucleus<br>Nucleoli	Colorectal cancer:1.76e-4 (unfavourable)	Expressed in all	Expressed in all			small intestine: 28.3	Expressed in all		
CCM2	C7orf22, MGC4607, OSM	ENSG00000136280	CCM2 scaffolding protein	7	44999475-45076469	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA020273, HPA021669, HPA065815	Enhanced		Enhanced	Mitochondria	Renal cancer:5.06e-7 (unfavourable), Pancreatic cancer:1.16e-4 (favourable), Colorectal cancer:1.79e-4 (unfavourable), Glioma:3.77e-4 (unfavourable)	Expressed in all	Expressed in all			lymph node: 49.1	Expressed in all		
RHOG	ARHG, MGC125835, MGC125836, RhoG	ENSG00000177105	Ras homolog family member G	11	3826978-3840983	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA039871	Enhanced				Renal cancer:9.49e-8 (unfavourable), Colorectal cancer:1.81e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 170.5	Expressed in all		
ADAMTSL4	DKFZP434K1772, TSRC1	ENSG00000143382	ADAMTS like 4	1	150549369-150560937	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA006279	Approved		Approved	Plasma membrane<br>Cytosol	Renal cancer:4.35e-7 (unfavourable), Glioma:1.63e-4 (unfavourable), Colorectal cancer:1.86e-4 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 88.9	lung: 32.3	Cell line enhanced		ASC TERT1: 64.0;BEWO: 191.0;K-562: 60.1
DVL3	KIAA0208	ENSG00000161202	Dishevelled segment polarity protein 3	3	184155388-184173610	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB046486, HPA058265	Approved		Approved	Intermediate filaments<br>Midbody ring<br>Centrosome	Renal cancer:1.53e-8 (unfavourable), Prostate cancer:4.77e-5 (unfavourable), Colorectal cancer:1.90e-4 (unfavourable), Liver cancer:8.41e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 55.3	Expressed in all		
SPOCK1	SPOCK, testican-1, TIC1	ENSG00000152377	SPARC/osteonectin, cwcv and kazal like domains proteoglycan 1	5	136975298-137598379	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA007450, HPA026770	Uncertain		Approved	Vesicles	Head and neck cancer:1.93e-5 (unfavourable), Renal cancer:3.77e-5 (unfavourable), Colorectal cancer:1.93e-4 (unfavourable), Ovarian cancer:4.72e-4 (unfavourable), Lung cancer:9.08e-4 (unfavourable), Stomach cancer:9.40e-4 (unfavourable)	Tissue enriched	Tissue enhanced		cerebral cortex: 209.2	prostate: 108.0	Cell line enhanced		AF22: 299.3;ASC diff: 403.2;HUVEC TERT2: 508.1;U-138 MG: 298.1
AIP	ARA9, FKBP16, XAP2	ENSG00000110711	Aryl hydrocarbon receptor interacting protein	11	67483041-67491103	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB033674, HPA050217, CAB069477	Approved		Supported	Cytosol	Colorectal cancer:1.93e-4 (unfavourable)	Expressed in all	Expressed in all			lymph node: 100.6	Expressed in all		
NR1D1	ear-1, hRev, Rev-ErbAalpha, THRA1, THRAL	ENSG00000126368	Nuclear receptor subfamily 1 group D member 1	17	40092787-40100725	Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA007935	Uncertain		Supported	Nuclear bodies	Melanoma:1.36e-4 (favourable), Colorectal cancer:1.94e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 37.4	Expressed in all		
TIMP1	CLGI, EPO, TIMP	ENSG00000102265	TIMP metallopeptidase inhibitor 1	X	47582313-47586789	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB022360, HPA053417	Approved		Approved	Golgi apparatus	Renal cancer:2.90e-11 (unfavourable), Colorectal cancer:2.09e-4 (unfavourable)	Expressed in all	Expressed in all			appendix: 2036.7	Expressed in all		
RNF32	FKSG33, HSD15, LMBR2	ENSG00000105982	Ring finger protein 32	7	156640281-156677130	Predicted intracellular proteins	Evidence at protein level	HPA073560	Enhanced				Colorectal cancer:2.21e-4 (unfavourable)	Mixed	Tissue enriched	8	testis: 110.5	epididymis: 13.4	Cell line enhanced		HDLM-2: 12.4
PNMA5	KIAA1934	ENSG00000198883	Paraneoplastic Ma antigen family member 5	X	152988824-152994127	Predicted intracellular proteins	Evidence at protein level	HPA044690	Enhanced				Colorectal cancer:2.25e-4 (unfavourable), Lung cancer:3.16e-4 (favourable)	Mixed	Group enriched	20	cerebral cortex: 8.1;testis: 16.3	skin,spleen: 0.5	Group enriched	495	HMC-1: 311.7;U-266/70: 426.0;U-266/84: 249.2
ANKRD39	MGC41816	ENSG00000213337	Ankyrin repeat domain 39	2	96836611-96858095	Predicted intracellular proteins	Evidence at protein level	HPA042678	Approved		Approved	Nucleoplasm<br>Vesicles	Renal cancer:6.78e-9 (unfavourable), Pancreatic cancer:6.12e-5 (favourable), Colorectal cancer:2.26e-4 (unfavourable), Urothelial cancer:5.21e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 17.2	Expressed in all		
BCAM	CD239, LU	ENSG00000187244	Basal cell adhesion molecule (Lutheran blood group)	19	44809059-44821420	Blood group antigen proteins, CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA005654	Uncertain		Approved	Nucleoli fibrillar center	Renal cancer:5.94e-6 (favourable), Endometrial cancer:1.24e-5 (unfavourable), Colorectal cancer:2.31e-4 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 174.7	Cell line enhanced		HaCaT: 278.4;SK-BR-3: 217.2;T-47d: 152.4
PTGES	MGST-IV, MGST1-L1, MGST1L1, PIG12, TP53I12	ENSG00000148344	Prostaglandin E synthase	9	129738331-129753047	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA045064	Enhanced		Supported	Endoplasmic reticulum	Pancreatic cancer:7.97e-5 (unfavourable), Colorectal cancer:2.32e-4 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 82.9;seminal vesicle: 119.5	urinary bladder: 36.3	Cell line enhanced		BEWO: 155.0;HaCaT: 189.3;U-2197: 372.3
KRTAP5-1	KRN1L, KRTAP5.1	ENSG00000205869	Keratin associated protein 5-1	11	1584342-1585283	Predicted intracellular proteins	Evidence at transcript level						Colorectal cancer:2.37e-4 (unfavourable)	Mixed	Not detected			adrenal gland,cerebral cortex,pancreas,salivary gland,small intestine,spleen,stomach: 0.1	Cell line enhanced		SCLC-21H: 1.6
TNS1	DKFZp586K0617, MXRA6, PPP1R155, TNS	ENSG00000079308	Tensin 1	2	217799789-218002995	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB018774, HPA036089, HPA036090	Approved		Enhanced	Focal adhesion sites	Colorectal cancer:2.41e-4 (unfavourable), Urothelial cancer:5.19e-4 (unfavourable)	Expressed in all	Expressed in all			seminal vesicle: 319.5	Cell line enhanced		ASC diff: 102.7;fHDF/TERT166: 59.1;REH: 80.9
THBS3		ENSG00000169231	Thrombospondin 3	1	155195588-155209051	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA006293, HPA073242	Approved		Approved	Vesicles	Renal cancer:2.38e-12 (unfavourable), Endometrial cancer:1.44e-4 (unfavourable), Colorectal cancer:2.43e-4 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 41.6	Cell line enhanced		SCLC-21H: 49.1
CHD3	Mi-2a, Mi2-ALPHA, ZFH	ENSG00000170004	Chromodomain helicase DNA binding protein 3	17	7884806-7912760	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA043368, HPA076524	Supported		Approved	Nucleus<br>Nucleoli<br>Microtubule organizing center	Endometrial cancer:7.68e-5 (favourable), Colorectal cancer:2.43e-4 (unfavourable), Pancreatic cancer:8.36e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 85.1	Expressed in all		
CTSD	CLN10, CPSD	ENSG00000117984	Cathepsin D	11	1752752-1764573	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB000109, HPA003001	Enhanced				Renal cancer:4.93e-5 (favourable), Colorectal cancer:2.46e-4 (unfavourable)	Expressed in all	Expressed in all			lung: 1026.9	Expressed in all		
USP20	KIAA1003	ENSG00000136878	Ubiquitin specific peptidase 20	9	129834698-129881838	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA006287, HPA007008	Uncertain	Approved	Approved	Nucleus<br>Plasma membrane<br>Cytosol	Pancreatic cancer:1.54e-7 (favourable), Renal cancer:5.65e-5 (favourable), Colorectal cancer:2.48e-4 (unfavourable), Endometrial cancer:4.01e-4 (favourable), Cervical cancer:8.01e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 22.1	Expressed in all		
CUL9	H7AP1, KIAA0708, PARC	ENSG00000112659	Cullin 9	6	43182175-43224587	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA016434, HPA052004	Approved		Approved	Cytosol	Head and neck cancer:2.37e-5 (favourable), Colorectal cancer:2.48e-4 (unfavourable), Urothelial cancer:4.87e-4 (favourable), Breast cancer:5.28e-4 (favourable), Pancreatic cancer:8.07e-4 (favourable)	Expressed in all	Mixed			testis: 10.0	Mixed		
RBP7	CRBPIV	ENSG00000162444	Retinol binding protein 7	1	9997206-10016020	Predicted intracellular proteins	Evidence at protein level	HPA034749	Enhanced		Uncertain	Nuclear speckles<br>Cytosol	Colorectal cancer:2.49e-4 (unfavourable)	Expressed in all	Tissue enhanced		adipose tissue: 260.1	breast: 82.2	Cell line enhanced		EFO-21: 12.5;SK-MEL-30: 7.2;T-47d: 32.2
TAOK2	KIAA0881, MAP3K17, PSK, PSK1, TAO1, TAO2	ENSG00000149930	TAO kinase 2	16	29973641-29992261	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA010650	Approved		Supported	Nucleus<br>Nucleoli<br>Cytosol	Endometrial cancer:3.87e-5 (favourable), Colorectal cancer:2.51e-4 (unfavourable), Renal cancer:3.66e-4 (favourable), Pancreatic cancer:4.78e-4 (favourable)	Expressed in all	Expressed in all			testis: 36.9	Expressed in all		
SLC39A13	FLJ25785	ENSG00000165915	Solute carrier family 39 member 13	11	47407132-47416501	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA043971	Approved		Uncertain	Cytosol	Ovarian cancer:2.73e-5 (unfavourable), Renal cancer:1.96e-4 (favourable), Colorectal cancer:2.60e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 58.3	Expressed in all		
TPM2	AMCD1, DA1, NEM4	ENSG00000198467	Tropomyosin 2 (beta)	9	35681992-35691020	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA047089, HPA053624	Approved				Renal cancer:8.51e-10 (unfavourable), Colorectal cancer:2.64e-4 (unfavourable)	Expressed in all	Tissue enriched	6	skeletal muscle: 13466.0	smooth muscle: 2282.0	Cell line enhanced		BJ: 1627.6
TSC22D4	THG-1, TILZ2	ENSG00000166925	TSC22 domain family member 4	7	100463359-100479279	Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA006757	Uncertain		Approved	Cytosol	Colorectal cancer:2.66e-4 (unfavourable), Liver cancer:9.45e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 278.2	Expressed in all		
PBXIP1	HPIP	ENSG00000163346	PBX homeobox interacting protein 1	1	154944076-154956123	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA006949	Approved		Approved	Vesicles<br>Cytosol	Renal cancer:9.22e-6 (favourable), Pancreatic cancer:2.64e-4 (favourable), Colorectal cancer:2.73e-4 (unfavourable), Head and neck cancer:7.19e-4 (favourable), Lung cancer:8.99e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 138.8	Cell line enriched	7	Karpas-707: 788.8
KDM4B	JMJD2B, KIAA0876, TDRD14B	ENSG00000127663	Lysine demethylase 4B	19	4969113-5153595	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA062872			Supported	Nucleus<br>Cytosol	Endometrial cancer:4.25e-7 (favourable), Melanoma:2.13e-4 (unfavourable), Colorectal cancer:2.74e-4 (unfavourable), Breast cancer:7.39e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 19.9	Expressed in all		
SERPINE1	PAI, PAI1, PLANH1	ENSG00000106366	Serpin family E member 1	7	101127089-101139266	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA050039, CAB068501	Uncertain		Approved	Cytosol	Renal cancer:5.88e-8 (unfavourable), Stomach cancer:3.27e-6 (unfavourable), Lung cancer:4.41e-6 (unfavourable), Head and neck cancer:2.84e-5 (unfavourable), Colorectal cancer:2.82e-4 (unfavourable), Cervical cancer:5.01e-4 (unfavourable), Urothelial cancer:5.51e-4 (unfavourable)	Expressed in all	Tissue enhanced		gallbladder: 580.3;placenta: 600.2	adipose tissue: 215.8	Cell line enhanced		TIME: 8072.1;U-138 MG: 4492.2;U-251 MG: 3465.4
RNF187		ENSG00000168159	Ring finger protein 187	1	228487061-228495766	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA030098	Approved		Supported	Nucleoplasm<br>Cytosol	Colorectal cancer:2.83e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 143.2	Expressed in all		
AFAP1L1	FLJ36748	ENSG00000157510	Actin filament associated protein 1 like 1	5	149271871-149341802	Predicted intracellular proteins	Evidence at protein level						Colorectal cancer:2.84e-4 (unfavourable)	Expressed in all	Mixed			adipose tissue: 29.8	Cell line enhanced		BEWO: 57.1;TIME: 37.4;WM-115: 105.1
MIER2	KIAA1193	ENSG00000105556	MIER family member 2	19	301444-344815	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA041439	Uncertain		Approved	Nucleoplasm<br>Cytosol	Renal cancer:7.22e-6 (unfavourable), Endometrial cancer:1.72e-5 (favourable), Colorectal cancer:2.89e-4 (unfavourable)	Expressed in all	Mixed			testis: 12.8	Mixed		
HIST2H2BE	H2B, H2B.1, H2B/q, H2BFQ	ENSG00000184678	Histone cluster 2 H2B family member e	1	149884459-149886652	Predicted intracellular proteins	Evidence at protein level	HPA042205, HPA043013, HPA048671	Supported		Approved	Nucleoplasm<br>Cytosol	Colorectal cancer:2.90e-4 (unfavourable)	Expressed in all	Expressed in all			prostate: 113.5	Cell line enhanced		Karpas-707: 40.8;U-266/70: 71.4
PRNP	AltPrP, CD230, CJD, GSS, PRIP, PRP	ENSG00000171867	Prion protein	20	4686236-4701590	CD markers, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA042754, HPA043398	Enhanced		Approved	Nuclear membrane<br>Vesicles<br>Cytosol	Liver cancer:7.41e-5 (unfavourable), Glioma:1.99e-4 (unfavourable), Colorectal cancer:2.96e-4 (unfavourable), Endometrial cancer:4.64e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 619.4	Cell line enhanced		WM-115: 985.1
C8G		ENSG00000176919	Complement C8 gamma chain	9	136945246-136946974	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA046269	Approved		Uncertain	Endoplasmic reticulum	Colorectal cancer:2.99e-4 (unfavourable)	Tissue enriched	Group enriched	6	duodenum: 49.8;liver: 106.5;small intestine: 34.5	gallbladder: 9.8	Cell line enriched	16	HMC-1: 139.2
FSTL3	FLRG, FSRP	ENSG00000070404	Follistatin like 3	19	676365-683399	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB024899, HPA045378	Approved		Approved	Nucleoplasm	Lung cancer:4.61e-7 (unfavourable), Ovarian cancer:1.65e-4 (unfavourable), Colorectal cancer:3.01e-4 (unfavourable), Endometrial cancer:3.03e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 260.8	Expressed in all		
OLFM2	NOE2, OlfC	ENSG00000105088	Olfactomedin 2	19	9853718-9936552	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA049961, HPA057771	Uncertain		Approved	Nucleoplasm	Renal cancer:2.21e-4 (unfavourable), Colorectal cancer:3.05e-4 (unfavourable)	Expressed in all	Tissue enhanced		cerebral cortex: 124.0;skin: 111.2	adipose tissue: 36.8	Cell line enhanced		AN3-CA: 23.7;SH-SY5Y: 25.7;U-2 OS: 30.2;WM-115: 25.2
MEGF6	EGFL3	ENSG00000162591	Multiple EGF like domains 6	1	3489920-3611495	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA052129	Uncertain		Approved	Microtubules<br>Cytokinetic bridge	Colorectal cancer:3.08e-4 (unfavourable), Head and neck cancer:6.57e-4 (favourable)	Expressed in all	Tissue enhanced		skin: 48.2	gallbladder: 17.0	Cell line enhanced		BJ: 37.3;HeLa: 26.6;U-2197: 36.2
DNAJC4	HSPF2, MCG18	ENSG00000110011	DnaJ heat shock protein family (Hsp40) member C4	11	64230278-64234286	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA011947	Uncertain				Colorectal cancer:3.12e-4 (unfavourable), Renal cancer:6.21e-4 (favourable)	Expressed in all	Expressed in all			testis: 136.6	Expressed in all		
IDUA	MPS1	ENSG00000127415	Iduronidase, alpha-L-	4	986997-1004506	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB025901, HPA046979, HPA054254	Enhanced		Supported	Vesicles	Renal cancer:7.87e-5 (unfavourable), Urothelial cancer:8.04e-5 (favourable), Colorectal cancer:3.13e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 16.5	Cell line enhanced		U-266/70: 43.1
PPP2R2D	MDS026	ENSG00000175470	Protein phosphatase 2 regulatory subunit Bdelta	10	131900644-131959834	Predicted intracellular proteins	Evidence at protein level	HPA042122, HPA042770	Approved		Approved	Cytosol	Colorectal cancer:3.14e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 6.7	Mixed		
TSPYL2	CDA1, CINAP, CTCL, DENTT, HRIHFB2216, SE20-4, TSPX	ENSG00000184205	TSPY like 2	X	53082367-53088540	Predicted intracellular proteins	Evidence at protein level	HPA044133	Approved				Pancreatic cancer:6.74e-8 (favourable), Renal cancer:8.16e-7 (unfavourable), Colorectal cancer:3.23e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 144.3	Expressed in all		
PLOD3	LH3	ENSG00000106397	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	7	101205977-101218420	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA001236	Uncertain				Cervical cancer:1.91e-5 (unfavourable), Colorectal cancer:3.26e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 48.1	Expressed in all		
PARP6	pART17	ENSG00000137817	Poly(ADP-ribose) polymerase family member 6	15	72241181-72272999	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA026991	Approved		Approved	Plasma membrane	Renal cancer:8.02e-8 (unfavourable), Cervical cancer:3.17e-5 (favourable), Colorectal cancer:3.37e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 46.9	Mixed		
NUMBL	CAG3A, CTG3a, NUMB-R, NUMBLIKE, NUMBR, TNRC23	ENSG00000105245	NUMB like, endocytic adaptor protein	19	40665905-40690972	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA058251, HPA058380	Approved				Renal cancer:7.55e-15 (unfavourable), Ovarian cancer:1.52e-4 (unfavourable), Colorectal cancer:3.49e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 41.7	Expressed in all		
AKAP8L	HAP95, NAKAP95	ENSG00000011243	A-kinase anchoring protein 8 like	19	15380048-15419141	Predicted intracellular proteins	Evidence at protein level	HPA042485, HPA042546	Enhanced		Supported	Nuclear speckles	Renal cancer:1.08e-7 (unfavourable), Colorectal cancer:3.49e-4 (unfavourable), Pancreatic cancer:8.04e-4 (favourable)	Expressed in all	Expressed in all			testis: 41.6	Expressed in all		
PLEKHG2	ARHGEF42, CLG, FLJ00018	ENSG00000090924	Pleckstrin homology and RhoGEF domain containing G2	19	39412585-39428415	Predicted intracellular proteins	Evidence at protein level	HPA017973, HPA048054	Uncertain		Approved	Nucleoplasm<br>Cytosol	Renal cancer:3.79e-8 (unfavourable), Colorectal cancer:3.53e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 33.2	Expressed in all		
FOXC1	ARA, FKHL7, FREAC3, IGDA, IHG1, IRID1	ENSG00000054598	Forkhead box C1	6	1609972-1613897	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA040670	Enhanced		Supported	Nucleoplasm<br>Cytosol	Colorectal cancer:3.53e-4 (unfavourable)	Expressed in all	Tissue enhanced		salivary gland: 66.2	kidney: 21.8	Cell line enhanced		AN3-CA: 86.7;HEK 293: 85.3
TRIP10	CIP4, HSTP, STOT, STP	ENSG00000125733	Thyroid hormone receptor interactor 10	19	6737925-6751526	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA041934, HPA072625, HPA073886	Approved		Supported	Nucleoplasm<br>Vesicles	Head and neck cancer:1.76e-4 (favourable), Colorectal cancer:3.61e-4 (unfavourable), Renal cancer:4.66e-4 (unfavourable)	Expressed in all	Expressed in all			skeletal muscle: 129.0	Mixed		
