Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
GPSM2	DFNB82, LGN, Pins	ENSG00000121957	G-protein signaling modulator 2	1	108875350-108934545	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA007327, HPA008408, CAB018962	Uncertain		Supported	Cytosol	Colorectal cancer:7.86e-5 (favourable), Renal cancer:3.02e-4 (unfavourable), Pancreatic cancer:5.89e-4 (unfavourable)	Mixed	Mixed			skin: 49.3	Expressed in all		
STT3B	FLJ90106, SIMP, STT3-B	ENSG00000163527	STT3B, catalytic subunit of the oligosaccharyltransferase complex	3	31532638-31637622	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA036448, HPA036646	Approved		Supported	Endoplasmic reticulum	Colorectal cancer:7.91e-5 (favourable)	Expressed in all	Expressed in all			testis: 165.5	Expressed in all		
ERI1	3'HEXO, THEX1	ENSG00000104626	Exoribonuclease 1	8	9002147-9116746	Predicted intracellular proteins	Evidence at protein level	CAB033838, HPA055548, HPA056074	Uncertain		Approved	Vesicles<br>Microtubules	Colorectal cancer:8.05e-5 (favourable), Renal cancer:1.42e-4 (unfavourable)	Expressed in all	Mixed			testis: 16.8	Expressed in all		
MAPKAPK3	3pK, MAPKAP3	ENSG00000114738	Mitogen-activated protein kinase-activated protein kinase 3	3	50611520-50649297	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA058275			Supported	Nucleoplasm	Renal cancer:1.90e-8 (favourable), Colorectal cancer:8.08e-5 (favourable)	Expressed in all	Expressed in all			heart muscle: 117.6	Expressed in all		
POMGNT2	AGO61, C3orf39, FLJ14566, GTDC2	ENSG00000144647	Protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)	3	43079232-43106076	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA034870, HPA040989	Uncertain				Renal cancer:4.00e-7 (favourable), Liver cancer:1.26e-5 (unfavourable), Colorectal cancer:8.13e-5 (favourable)	Expressed in all	Expressed in all			endometrium: 35.7	Mixed		
ST7L	FAM4B, FLJ20284, ST7R, STLR	ENSG00000007341	Suppression of tumorigenicity 7 like	1	112523518-112620825	Predicted intracellular proteins, Predicted membrane proteins	Evidence at transcript level	HPA042324, HPA075418	Uncertain		Approved	Centrosome	Ovarian cancer:3.04e-5 (favourable), Colorectal cancer:8.34e-5 (favourable), Melanoma:5.16e-4 (unfavourable), Endometrial cancer:8.96e-4 (unfavourable)	Expressed in all	Tissue enriched	5	testis: 65.0	thyroid gland: 12.4	Mixed		
TAF1B	RAF1B, RAFI63, SL1, TAFI63	ENSG00000115750	TATA-box binding protein associated factor, RNA polymerase I subunit B	2	9843354-9934416	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA071254			Supported	Nucleus<br>Nucleoli	Liver cancer:6.94e-7 (unfavourable), Colorectal cancer:8.58e-5 (favourable), Renal cancer:8.55e-4 (favourable)	Expressed in all	Mixed			parathyroid gland: 23.9	Expressed in all		
DEPDC1	DEP.8, DEPDC1A, FLJ20354, SDP35	ENSG00000024526	DEP domain containing 1	1	68474152-68497221	Predicted intracellular proteins	Evidence at protein level	CAB017845	Approved		Supported	Nucleus<br>Nucleoli fibrillar center	Colorectal cancer:8.70e-5 (favourable)	Mixed	Tissue enhanced		testis: 14.5	lymph node: 5.8	Mixed		
SPINK4	MGC133107, PEC-60	ENSG00000122711	Serine peptidase inhibitor, Kazal type 4	9	33218365-33248567	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA007286	Enhanced		Approved	Nucleus<br>Golgi apparatus<br>Vesicles	Colorectal cancer:8.85e-5 (favourable)	Group enriched	Group enriched	6	colon: 631.8;duodenum: 266.4;rectum: 1071.3;small intestine: 734.5	appendix: 107.1	Cell line enriched	8	HMC-1: 152.9
NXPE2	FAM55B, FLJ25224	ENSG00000204361	Neurexophilin and PC-esterase domain family member 2	11	114678386-114706933	Predicted intracellular proteins	Evidence at protein level	HPA039744, HPA039876	Enhanced				Colorectal cancer:9.29e-5 (favourable)	Tissue enhanced	Tissue enhanced		colon: 9.5;epididymis: 30.3;rectum: 9.7	salivary gland: 8.2	Not detected		
ETF1	ERF, ERF1, RF1, SUP45L1, TB3-1	ENSG00000120705	Eukaryotic translation termination factor 1	5	138506095-138543300	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB011686, HPA037511	Approved				Colorectal cancer:9.33e-5 (favourable), Thyroid cancer:1.22e-4 (unfavourable), Liver cancer:6.35e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 108.6	Expressed in all		
REP15	RAB15EP	ENSG00000174236	RAB15 effector protein	12	27696519-27697596	Predicted intracellular proteins	Evidence at protein level	HPA040448, HPA059868	Approved				Colorectal cancer:9.43e-5 (favourable)	Mixed	Tissue enhanced		colon: 39.7;rectum: 70.4;stomach: 82.2	small intestine: 39.4	Mixed		
DEFA5	DEF5, HD-5	ENSG00000164816	Defensin alpha 5	8	7055304-7056734	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA015775, CAB069919	Enhanced				Colorectal cancer:9.44e-5 (favourable)	Tissue enhanced	Group enriched	480	duodenum: 10677.9;small intestine: 19102.0	appendix: 31.0	Group enriched	6	BEWO: 55.6;NB-4: 31.4;RPMI-8226: 35.9;SH-SY5Y: 42.9;U-2197: 16.2
PI4K2B	FLJ11105, PI4KIIB, PIK42B	ENSG00000038210	Phosphatidylinositol 4-kinase type 2 beta	4	25233975-25279092	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA004099	Approved		Supported	Cytosol	Colorectal cancer:9.64e-5 (favourable)	Expressed in all	Mixed			thyroid gland: 33.9	Expressed in all		
HEPACAM2	FLJ38683	ENSG00000188175	HEPACAM family member 2	7	93188586-93226524	Predicted membrane proteins	Evidence at protein level						Colorectal cancer:9.73e-5 (favourable)	Mixed	Tissue enhanced		colon: 64.3;rectum: 103.1;small intestine: 53.6	duodenum: 30.2	Cell line enriched	47	SCLC-21H: 202.2
DDX20	DP103, GEMIN3	ENSG00000064703	DEAD-box helicase 20	1	111755245-111768016	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA005516, CAB015427	Enhanced		Supported	Nucleoplasm<br>Nuclear bodies<br>Cytosol	Liver cancer:6.35e-6 (unfavourable), Colorectal cancer:9.85e-5 (favourable)	Expressed in all	Tissue enriched	10	testis: 130.7	parathyroid gland: 12.6	Expressed in all		
CSNK1G3		ENSG00000151292	Casein kinase 1 gamma 3	5	123512099-123617045	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA027010	Approved				Colorectal cancer:9.90e-5 (favourable)	Expressed in all	Expressed in all			testis: 28.4	Mixed		
SLC25A24	APC1, DKFZp586G0123	ENSG00000085491	Solute carrier family 25 member 24	1	108134036-108200849	Predicted intracellular proteins, Transporters	Evidence at protein level	HPA028519, HPA063636	Enhanced		Enhanced	Mitochondria	Colorectal cancer:1.01e-4 (favourable)	Expressed in all	Mixed			cervix, uterine: 22.1	Mixed		
PMM2	CDG1, CDG1a, CDGS, PMI, PMI1	ENSG00000140650	Phosphomannomutase 2	16	8788823-8849331	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA040852, HPA063649	Approved		Approved	Nucleus<br>Cytosol	Renal cancer:8.97e-6 (unfavourable), Colorectal cancer:1.04e-4 (favourable)	Expressed in all	Expressed in all			rectum: 28.3	Expressed in all		
ESCO2	EFO2, RBS	ENSG00000171320	Establishment of sister chromatid cohesion N-acetyltransferase 2	8	27771949-27812640	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA027243, HPA053679			Supported	Nucleus<br>Golgi apparatus	Colorectal cancer:1.04e-4 (favourable)	Mixed	Tissue enhanced		duodenum: 11.2	testis: 10.4	Mixed		
MTUS1	ATBP, ATIP1, DKFZp586D1519, FLJ14295, ICIS, KIAA1288, MP44, MTSG1	ENSG00000129422	Microtubule associated tumor suppressor 1	8	17643795-17800917	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA067903, HPA069795			Enhanced	Nucleoli<br>Microtubules	Colorectal cancer:1.05e-4 (favourable), Renal cancer:2.76e-4 (favourable)	Expressed in all	Mixed			parathyroid gland: 128.1	Cell line enhanced		A549: 104.4;AN3-CA: 92.7;HUVEC TERT2: 247.3
TMEM61		ENSG00000143001	Transmembrane protein 61	1	54980792-54992293	Predicted membrane proteins	Evidence at transcript level	HPA030614	Uncertain				Renal cancer:1.78e-7 (favourable), Colorectal cancer:1.07e-4 (favourable)	Mixed	Tissue enhanced		parathyroid gland: 11.2;salivary gland: 10.1	seminal vesicle: 8.2	Cell line enriched	7	RPMI-8226: 16.2
SUCLG2		ENSG00000172340	Succinate-CoA ligase GDP-forming beta subunit	3	67360460-67654614	Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA046705, HPA051998	Enhanced		Supported	Plasma membrane<br>Mitochondria	Renal cancer:2.79e-10 (favourable), Colorectal cancer:1.08e-4 (favourable)	Expressed in all	Expressed in all			colon: 168.2	Expressed in all		
MAPK9	JNK2, p54a, PRKM9, SAPK	ENSG00000050748	Mitogen-activated protein kinase 9	5	180233143-180292099	Enzymes, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB008910	Approved				Colorectal cancer:1.11e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 83.9	Expressed in all		
MRPS7	MRP-S, RP-S7, RPMS7	ENSG00000125445	Mitochondrial ribosomal protein S7	17	75261674-75266373	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA022522, HPA023007	Supported		Approved	Mitochondria	Colorectal cancer:1.12e-4 (favourable), Liver cancer:3.13e-4 (unfavourable)	Expressed in all	Expressed in all			heart muscle: 60.8	Expressed in all		
ACAT2		ENSG00000120437	Acetyl-CoA acetyltransferase 2	6	159760328-159779055	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB021106, HPA025736, HPA025765, HPA025811	Enhanced		Supported	Nucleus<br>Cytosol	Colorectal cancer:1.12e-4 (favourable), Endometrial cancer:7.25e-4 (unfavourable), Renal cancer:7.38e-4 (unfavourable)	Expressed in all	Mixed			liver: 45.8	Expressed in all		
ABHD6		ENSG00000163686	Abhydrolase domain containing 6	3	58237506-58295693	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA017283, HPA073225	Uncertain		Approved	Nucleoplasm<br>Vesicles	Renal cancer:1.11e-11 (favourable), Colorectal cancer:1.13e-4 (favourable)	Expressed in all	Mixed			small intestine: 50.9	Mixed		
CTTNBP2NL	DKFZp547A023	ENSG00000143079	CTTNBP2 N-terminal like	1	112396181-112463456	Predicted intracellular proteins	Evidence at protein level	HPA007301	Approved		Approved	Nucleoli fibrillar center<br>Cytosol	Colorectal cancer:1.14e-4 (favourable), Renal cancer:8.08e-4 (favourable)	Expressed in all	Mixed			placenta: 29.0	Mixed		
CSNK1A1	CK1, CK1a, CK1alpha, CKIa, CKIalpha	ENSG00000113712	Casein kinase 1 alpha 1	5	149492197-149551552	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB016680, HPA051334	Uncertain		Approved	Cytosol	Colorectal cancer:1.15e-4 (favourable), Pancreatic cancer:5.79e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 219.6	Expressed in all		
PDCD6IP	AIP1, Alix, Hp95	ENSG00000170248	Programmed cell death 6 interacting protein	3	33798352-33869707	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA011905, CAB016212	Approved		Enhanced	Cytosol	Renal cancer:3.90e-9 (favourable), Colorectal cancer:1.16e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 64.1	Expressed in all		
FZD3		ENSG00000104290	Frizzled class receptor 3	8	28494205-28574268	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB024995	Approved				Colorectal cancer:1.17e-4 (favourable), Ovarian cancer:3.71e-4 (favourable)	Mixed	Mixed			cerebral cortex: 16.4	Cell line enhanced		AF22: 53.7;SCLC-21H: 46.9
SCGB2A1	LPHC, MGB2, MGC71973, UGB3	ENSG00000124939	Secretoglobin family 2A member 1	11	62208668-62213939	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	HPA034584	Enhanced				Endometrial cancer:1.54e-8 (favourable), Colorectal cancer:1.22e-4 (favourable), Renal cancer:6.36e-4 (favourable)	Group enriched	Group enriched	6	cervix, uterine: 2863.6;epididymis: 1665.3	fallopian tube: 381.7	Cell line enhanced		EFO-21: 8.1;NB-4: 1.3;SCLC-21H: 1.9
TAMM41	C3orf31, DKFZp434E0519, MGC16471	ENSG00000144559	TAM41 mitochondrial translocator assembly and maintenance homolog	3	11790442-11846919	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA036834, HPA044861	Uncertain		Approved	Cytosol	Colorectal cancer:1.23e-4 (favourable)	Expressed in all	Mixed			epididymis: 11.8	Expressed in all		
ARV1		ENSG00000173409	ARV1 homolog, fatty acid homeostasis modulator	1	230978981-231000595	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA035709	Approved		Approved	Vesicles	Lung cancer:3.27e-5 (favourable), Colorectal cancer:1.33e-4 (favourable)	Expressed in all	Expressed in all			testis: 61.9	Expressed in all		
HSD17B4	DBP, MFE-2, SDR8C1	ENSG00000133835	Hydroxysteroid 17-beta dehydrogenase 4	5	119452443-119637199	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA021302, HPA021311, HPA021479	Enhanced		Enhanced	Peroxisomes	Renal cancer:6.31e-6 (favourable), Colorectal cancer:1.33e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 229.7	Expressed in all		
SLC39A8	BIGM103	ENSG00000138821	Solute carrier family 39 member 8	4	102251041-102431258	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA038832, HPA038833	Approved				Renal cancer:6.34e-6 (favourable), Colorectal cancer:1.34e-4 (favourable), Breast cancer:6.69e-4 (favourable)	Expressed in all	Tissue enhanced		lung: 257.0	cervix, uterine: 129.4	Cell line enhanced		BJ hTERT+: 128.9;Karpas-707: 123.0
OXSM	CEM1, FASN2D, FLJ20604, KS	ENSG00000151093	3-oxoacyl-ACP synthase, mitochondrial	3	25782917-25794534	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA021293, HPA021300, HPA021337	Enhanced		Approved	Mitochondria<br>Cytosol	Renal cancer:4.18e-9 (favourable), Colorectal cancer:1.35e-4 (favourable), Endometrial cancer:5.51e-4 (favourable)	Expressed in all	Expressed in all			testis: 17.4	Mixed		
CANX	CNX, IP90, P90	ENSG00000127022	Calnexin	5	179678628-179730925	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB004738, HPA009433, HPA009696	Enhanced		Enhanced	Endoplasmic reticulum	Colorectal cancer:1.38e-4 (favourable), Thyroid cancer:3.17e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 294.4	Expressed in all		
MED13	KIAA0593, THRAP1, TRAP240	ENSG00000108510	Mediator complex subunit 13	17	61942605-62065282	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA067939			Supported	Nucleus	Colorectal cancer:1.43e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland,testis: 35.7	Expressed in all		
C17orf80	FLJ20721, HLC-8, MIG3, SPEP1	ENSG00000141219	Chromosome 17 open reading frame 80	17	73232233-73248947	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA012896	Uncertain		Approved	Nucleoplasm<br>Vesicles	Liver cancer:9.02e-6 (unfavourable), Colorectal cancer:1.43e-4 (favourable)	Expressed in all	Expressed in all			testis: 71.9	Expressed in all		
SSX2IP	hMsd1	ENSG00000117155	SSX family member 2 interacting protein	1	84643707-84690803	Predicted intracellular proteins	Evidence at protein level	HPA027306, HPA075946	Approved		Approved	Cell Junctions	Colorectal cancer:1.45e-4 (favourable)	Expressed in all	Tissue enhanced		testis: 191.9	cerebral cortex: 45.8	Expressed in all		
RAB32		ENSG00000118508	RAB32, member RAS oncogene family	6	146543693-146554965	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA025731	Approved		Approved	Cytosol	Liver cancer:1.08e-7 (unfavourable), Colorectal cancer:1.56e-4 (favourable), Endometrial cancer:6.51e-4 (unfavourable), Renal cancer:8.62e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 91.9	Mixed		
ZBTB7C	ZBTB36, ZNF857C	ENSG00000184828	Zinc finger and BTB domain containing 7C	18	48026673-48410752	Predicted intracellular proteins, Transcription factors	Evidence at transcript level						Colorectal cancer:1.59e-4 (favourable)	Mixed	Mixed			esophagus: 31.7	Cell line enhanced		RPMI-8226: 6.7;RT4: 34.0;SCLC-21H: 6.5;SH-SY5Y: 7.3
PEX7	PTS2R, RD	ENSG00000112357	Peroxisomal biogenesis factor 7	6	136822564-136913937	Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA049202	Uncertain		Supported	Nucleoplasm<br>Vesicles	Renal cancer:1.85e-10 (favourable), Colorectal cancer:1.61e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 25.3	Mixed		
TOM1L1	SRCASM	ENSG00000141198	Target of myb1 like 1 membrane trafficking protein	17	54899387-54968646	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA022916	Uncertain				Renal cancer:3.81e-6 (favourable), Colorectal cancer:1.61e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 116.9	Mixed		
GNAI3	87U6	ENSG00000065135	G protein subunit alpha i3	1	109548611-109618321	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB022099, HPA042141	Approved		Supported	Nucleus<br>Nucleoli<br>Centrosome	Liver cancer:5.30e-6 (unfavourable), Colorectal cancer:1.62e-4 (favourable), Renal cancer:4.34e-4 (unfavourable), Ovarian cancer:4.59e-4 (favourable)	Expressed in all	Mixed			esophagus: 7.9	Expressed in all		
CSTF3	CstF-77	ENSG00000176102	Cleavage stimulation factor subunit 3	11	33077188-33162371	Predicted intracellular proteins	Evidence at protein level	HPA039743, HPA040168	Enhanced		Enhanced	Nucleoplasm	Liver cancer:8.20e-6 (unfavourable), Renal cancer:1.61e-5 (unfavourable), Colorectal cancer:1.63e-4 (favourable)	Expressed in all	Expressed in all			epididymis: 76.3	Expressed in all		
DIO2	SelY, TXDI2	ENSG00000211448	Iodothyronine deiodinase 2	14	80197527-80387757	Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA029544, HPA048002			Supported	Nucleoplasm<br>Cytosol	Endometrial cancer:4.62e-6 (favourable), Colorectal cancer:1.67e-4 (favourable)	Tissue enhanced	Group enriched	6	cervix, uterine: 269.4;thyroid gland: 601.2	esophagus: 70.3	Cell line enhanced		BJ: 70.1;HeLa: 63.5;SiHa: 184.0
KIF2A	HK2, KIF2	ENSG00000068796	Kinesin family member 2A	5	62306162-62537249	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA004715, HPA004716	Approved		Enhanced	Nucleus<br>Nucleoli<br>Centrosome	Liver cancer:3.17e-6 (unfavourable), Renal cancer:3.81e-5 (unfavourable), Colorectal cancer:1.70e-4 (favourable), Head and neck cancer:5.45e-4 (favourable)	Expressed in all	Expressed in all			testis: 91.8	Expressed in all		
IPO11	RanBP11	ENSG00000086200	Importin 11	5	62403972-62628582	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA067097	Approved		Enhanced	Nucleus<br>Nucleoli fibrillar center	Liver cancer:4.28e-5 (unfavourable), Colorectal cancer:1.70e-4 (favourable)	Expressed in all	Expressed in all			testis: 40.6	Expressed in all		
FCHSD2	KIAA0769, SH3MD3	ENSG00000137478	FCH and double SH3 domains 2	11	72836745-73142261	Predicted intracellular proteins	Evidence at protein level	HPA038545, HPA038546	Uncertain		Approved	Nuclear speckles<br>Plasma membrane<br>Actin filaments<br>Focal adhesion sites	Colorectal cancer:1.71e-4 (favourable)	Expressed in all	Expressed in all			spleen: 64.1	Expressed in all		
GLMN	FAP48, FKBPAP, GLML, GVM, VMGLOM	ENSG00000174842	Glomulin, FKBP associated protein	1	92246402-92298987	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA031446, HPA031448	Approved		Approved	Nucleoplasm<br>Cytosol	Renal cancer:5.89e-8 (unfavourable), Liver cancer:2.42e-5 (unfavourable), Colorectal cancer:1.71e-4 (favourable)	Expressed in all	Mixed			testis: 15.0	Expressed in all		
LARS2	KIAA0028, LEURS, MGC26121, mtLeuRS	ENSG00000011376	Leucyl-tRNA synthetase 2, mitochondrial	3	45388506-45549421	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA035951, HPA045450, HPA066085	Approved		Supported	Nucleoplasm<br>Mitochondria	Renal cancer:1.32e-11 (favourable), Colorectal cancer:1.71e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 19.2	Expressed in all		
TM2D2	BLP1	ENSG00000169490	TM2 domain containing 2	8	38988808-38996824	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA047152, HPA050547	Approved		Approved	Nucleoplasm<br>Vesicles<br>Plasma membrane	Colorectal cancer:1.71e-4 (favourable), Breast cancer:7.49e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 51.3	Expressed in all		
FAM83F		ENSG00000133477	Family with sequence similarity 83 member F	22	39994949-40043529	Predicted intracellular proteins	Evidence at protein level	HPA051207, HPA064657	Enhanced		Approved	Nucleus<br>Mitochondria	Colorectal cancer:1.73e-4 (favourable), Pancreatic cancer:9.40e-4 (favourable)	Mixed	Tissue enhanced		testis: 21.6	skin: 16.5	Cell line enhanced		hTCEpi: 27.3;RT4: 14.8;SCLC-21H: 46.9
BMP2K	BIKe, DKFZp434K0614	ENSG00000138756	BMP2 inducible kinase	4	78776342-78916372	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA026436, HPA026451, HPA026501	Approved		Supported	Nuclear speckles	Colorectal cancer:1.74e-4 (favourable)	Mixed	Mixed			testis: 32.8	Expressed in all		
CDC27	ANAPC3, APC3, D0S1430E, D17S978E, NUC2	ENSG00000004897	Cell division cycle 27	17	47117703-47189422	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB016315, HPA028129, HPA052399	Supported		Enhanced	Nucleoplasm	Renal cancer:6.39e-5 (unfavourable), Colorectal cancer:1.77e-4 (favourable), Liver cancer:4.38e-4 (unfavourable), Lung cancer:8.15e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 71.5	Expressed in all		
COIL	CLN80, p80-coilin	ENSG00000121058	Coilin	17	56938187-56961054	Predicted intracellular proteins	Evidence at protein level	CAB017524, HPA027885, HPA068537, CAB069400	Enhanced		Enhanced	Nucleus<br>Nucleoli fibrillar center<br>Nuclear bodies	Liver cancer:1.28e-4 (unfavourable), Colorectal cancer:1.77e-4 (favourable)	Expressed in all	Tissue enriched	9	testis: 175.4	thyroid gland: 20.2	Expressed in all		
POC1A	DKFZP434C245, WDR51A	ENSG00000164087	POC1 centriolar protein A	3	52075253-52154690	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA040600	Approved				Renal cancer:9.43e-7 (unfavourable), Pancreatic cancer:1.76e-4 (unfavourable), Colorectal cancer:1.78e-4 (favourable)	Expressed in all	Tissue enhanced		testis: 23.1	bone marrow: 7.0	Expressed in all		
TRAP1	HSP75, HSP90L	ENSG00000126602	TNF receptor associated protein 1	16	3651639-3717597	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA041082, HPA044227	Enhanced		Enhanced	Mitochondria	Colorectal cancer:1.80e-4 (favourable)	Expressed in all	Expressed in all			fallopian tube: 95.4	Expressed in all		
UBP1	LBP-1a	ENSG00000153560	Upstream binding protein 1 (LBP-1a)	3	33388336-33441371	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003967			Supported	Nucleoplasm	Colorectal cancer:1.81e-4 (favourable), Liver cancer:9.45e-4 (unfavourable)	Expressed in all	Expressed in all			seminal vesicle: 54.5	Expressed in all		
RORC	NR1F3, RORG, RZRG, TOR	ENSG00000143365	RAR related orphan receptor C	1	151806071-151831872	Disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA065620			Supported	Nuclear bodies	Renal cancer:2.94e-5 (favourable), Colorectal cancer:1.83e-4 (favourable)	Mixed	Mixed			thyroid gland: 50.4	Cell line enhanced		HDLM-2: 24.3;Karpas-707: 9.4;MOLT-4: 5.6;T-47d: 10.0
FEM1C	EUROIMAGE686608, EUROIMAGE783647, FEM1A, KIAA1785	ENSG00000145780	Fem-1 homolog C	5	115520908-115544894	Predicted intracellular proteins	Evidence at protein level	HPA059919, HPA060977	Approved		Approved	Nucleoplasm<br>Cytosol	Renal cancer:1.55e-4 (unfavourable), Colorectal cancer:1.83e-4 (favourable)	Expressed in all	Expressed in all			bone marrow: 40.2	Expressed in all		
TCF20	AR1, SPBP	ENSG00000100207	Transcription factor 20	22	42160013-42343616	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB017849, HPA036786	Approved		Supported	Nucleoplasm<br>Nuclear bodies	Colorectal cancer:1.88e-4 (favourable), Liver cancer:4.89e-4 (unfavourable)	Expressed in all	Mixed			thyroid gland: 3.7	Mixed		
AKR1B10	AKR1B11, AKR1B12, ALDRLn, ARL-1, ARL1, HIS, HSI	ENSG00000198074	Aldo-keto reductase family 1 member B10	7	134527592-134541408	Predicted intracellular proteins	Evidence at protein level	HPA020280, CAB070163, HPA073633	Enhanced		Supported	Plasma membrane<br>Cytosol	Renal cancer:4.80e-9 (unfavourable), Colorectal cancer:1.91e-4 (favourable)	Tissue enhanced	Tissue enhanced		duodenum: 635.9;gallbladder: 283.3;small intestine: 387.2;stomach: 414.4	esophagus: 89.8	Group enriched	74	A549: 2731.1;Hep G2: 580.9
TUBD1	FLJ12709, TUBD	ENSG00000108423	Tubulin delta 1	17	59859482-59892945	FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	CAB004609, HPA023980, HPA027090	Approved		Enhanced	Nucleoplasm<br>Cytosol	Liver cancer:1.00e-5 (unfavourable), Colorectal cancer:2.04e-4 (favourable), Renal cancer:6.06e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 12.5	Expressed in all		
HYAL1	FUS2, HYAL-1, LUCA1, NAT6	ENSG00000114378	Hyaluronoglucosaminidase 1	3	50299889-50312381	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA002112	Uncertain				Renal cancer:1.56e-11 (favourable), Colorectal cancer:2.07e-4 (favourable)	Expressed in all	Tissue enhanced		liver: 71.1;spleen: 69.3	kidney: 43.5	Cell line enhanced		Hep G2: 66.6;SK-BR-3: 20.5
